scenario,policy,session,mean_human_risk,mean_operational_risk,mean_joint_risk,mean_disruption,mean_learning_loss,intervention_rate,stop_rate
crane,Comfort-First,19.5,0.27268044621102594,0.3691969812389327,0.3209387137249793,0.024633333333333333,0.024633333333333333,0.15395833333333334,0.0
crane,Fixed Training,19.5,0.3219471128776926,0.384592814572266,0.3532699637249793,0.0,0.0,0.0,0.0
crane,Safety-First,19.5,0.19971279503162528,0.25114819063417065,0.22543049283289798,0.0861875,0.123125,0.24625,0.24625
crane,VR Guardian,19.5,0.2628487605196234,0.37720531457226597,0.3200270375459447,0.017237500000000003,0.0123125,0.24625,0.0
factory,Comfort-First,19.5,0.28704209451941637,0.37842533526707933,0.3327337148932479,0.024566666666666667,0.024566666666666667,0.15354166666666666,0.0
factory,Fixed Training,19.5,0.3361754278527497,0.393779501933746,0.3649774648932479,0.0,0.0,0.0,0.0
factory,Safety-First,19.5,0.21711148405680566,0.26420360591387093,0.2406575449853383,0.08363541666666666,0.11947916666666666,0.23895833333333333,0.23895833333333333
factory,VR Guardian,19.5,0.27882542785274966,0.386610751933746,0.33271808989324786,0.016727083333333333,0.011947916666666667,0.23895833333333333,0.0
forklift,Comfort-First,19.5,0.27958037398001767,0.373321276280859,0.32645082513043827,0.025500000000000002,0.025500000000000002,0.159375,0.0
forklift,Fixed Training,19.5,0.3305803739800176,0.3892587762808589,0.3599195751304383,0.0,0.0,0.0,0.0
forklift,Safety-First,19.5,0.20553547770960953,0.2536196083187076,0.22957754301415859,0.08779166666666666,0.12541666666666668,0.25083333333333335,0.25083333333333335
forklift,VR Guardian,19.5,0.27038037398001763,0.3817337762808589,0.3260570751304383,0.017558333333333336,0.012541666666666668,0.25083333333333335,0.0
mining,Comfort-First,19.5,0.26799021438863896,0.36704420227698265,0.3175172083328108,0.025166666666666664,0.025166666666666664,0.15729166666666666,0.0
mining,Fixed Training,19.5,0.3183235477219723,0.38277336894364933,0.3505484583328108,0.0,0.0,0.0,0.0
mining,Safety-First,19.5,0.1932768886280772,0.2466928524119952,0.21998487052003618,0.08793749999999999,0.12562500000000001,0.25125000000000003,0.25125000000000003
mining,VR Guardian,19.5,0.2580289373748085,0.3752358689436493,0.3166324031592289,0.017587500000000002,0.0125625,0.25125000000000003,0.0
oil_gas,Comfort-First,19.5,0.27185518849523327,0.35848632052949514,0.3151707545123642,0.026666666666666665,0.026666666666666665,0.16666666666666669,0.0
oil_gas,Fixed Training,19.5,0.32518852182856667,0.37515298719616186,0.35017075451236424,0.0,0.0,0.0,0.0
oil_gas,Safety-First,19.5,0.1953631807304447,0.2338301513609911,0.21459666604571792,0.09136458333333333,0.13052083333333334,0.26104166666666667,0.26104166666666667
oil_gas,VR Guardian,19.5,0.26253852182856663,0.3673217371961618,0.3149301295123642,0.01827291666666667,0.013052083333333334,0.26104166666666667,0.0
substation,Comfort-First,19.5,0.28456979423649986,0.36166305159880857,0.32311642291765424,0.025866666666666666,0.025866666666666666,0.16166666666666668,0.0
substation,Fixed Training,19.5,0.3363031275698332,0.37782971826547523,0.3570664229176542,0.0,0.0,0.0,0.0
substation,Safety-First,19.5,0.2124666205622184,0.24278076234582202,0.22762369145402023,0.08713541666666666,0.12447916666666667,0.24895833333333334,0.24895833333333334
substation,VR Guardian,19.5,0.27655312756983325,0.37036096826547527,0.32345704791765423,0.017427083333333336,0.012447916666666666,0.24895833333333334,0.0
